state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_population,state_area_sq_miles
Alaska,3,2280.0,345.0,2280.0,580.0,731545.0,665384.0
Arizona,2,1577.0,237.0,1577.0,80.0,7278717.0,113990.0
California,21,25948.0,2738.0,25948.0,587.0,39512223.0,163695.0
Colorado,22,43682.0,3258.0,43682.0,428.0,5758736.0,104094.0
Connecticut,5,358.0,353.0,358.0,256.0,3565278.0,5543.0
Idaho,12,16396.0,1136.0,16396.0,415.0,1787065.0,83569.0
Illinois,4,191.0,221.0,191.0,191.0,12671821.0,57914.0
Indiana,2,165.0,157.0,165.0,165.0,6732219.0,36420.0
Iowa,3,140.0,100.0,140.0,140.0,3155070.0,56273.0
Maine,9,3216.0,865.0,3216.0,388.0,1344212.0,35380.0
Maryland,1,172.0,121.0,172.0,118.0,6045680.0,12406.0
Massachusetts,11,1166.0,671.0,1166.0,583.0,6892503.0,10554.0
Michigan,28,4406.0,2389.0,4406.0,1946.0,9986857.0,96714.0
Minnesota,14,1560.0,1490.0,1560.0,1020.0,5639632.0,86936.0
Missouri,2,60.0,69.0,60.0,47.0,6137428.0,69707.0
Montana,12,21410.0,951.0,21410.0,710.0,1068778.0,147040.0
Nevada,4,2110.0,415.0,2110.0,0.0,3080156.0,110572.0
New Hampshire,16,3427.0,1847.0,3427.0,376.0,,
New Jersey,2,190.0,170.0,190.0,181.0,,
New Mexico,9,5223.0,966.0,5223.0,50.0,,
New York,33,5514.0,2384.0,5514.0,2836.0,,
North Carolina,6,370.0,506.0,370.0,335.0,,
Ohio,5,421.0,489.0,421.0,421.0,11689100.0,44826.0
Oregon,10,11774.0,1180.0,11774.0,1127.0,4217737.0,98379.0
Pennsylvania,19,1888.0,1404.0,1888.0,1528.0,12801989.0,46054.0
Rhode Island,1,30.0,100.0,30.0,30.0,,
South Dakota,2,950.0,183.0,950.0,0.0,,
Tennessee,1,0.0,83.0,0.0,0.0,6829174.0,42144.0
Utah,13,30508.0,1544.0,30508.0,642.0,3205958.0,84897.0
Vermont,15,7239.0,1777.0,7239.0,50.0,623989.0,9616.0
Virginia,4,269.0,366.0,269.0,135.0,8535519.0,42775.0
Washington,10,15330.0,1022.0,15330.0,1997.0,7614893.0,71298.0
West Virginia,4,542.0,342.0,542.0,187.0,,
Wisconsin,15,1750.0,1519.0,1750.0,1065.0,5822434.0,65496.0
Wyoming,8,6523.0,716.0,6523.0,110.0,578759.0,97813.0
